Date,Open,High,Low,Close,Volume
04/01/1999 15:30:00,15.36,15.44,15.09,15.2,3801638
05/01/1999 15:30:00,15.25,15.25,14.92,15.2,4196310
06/01/1999 15:30:00,15.42,15.44,15.06,15.17,3045644
07/01/1999 15:30:00,15.24,16.34,15.2,16.13,14000533
08/01/1999 15:30:00,16.6,17.42,16.38,17.42,10719900
11/01/1999 15:30:00,17.64,18.68,17.13,17.65,13135071
12/01/1999 15:30:00,17.32,17.67,16.98,17.39,8216320
13/01/1999 15:30:00,17.73,17.92,16.98,17.11,8105137
14/01/1999 15:30:00,16.59,17.06,16.51,16.75,5210557
15/01/1999 15:30:00,16.75,16.98,16.14,16.23,4858452
18/01/1999 15:30:00,16.38,16.38,15.78,16.27,3586847
19/01/1999 15:30:00,16.16,16.18,15.57,15.57,3937297
21/01/1999 15:30:00,15.75,16.09,15.5,16.04,3897054
22/01/1999 15:30:00,16.13,16.64,16.09,16.18,4163160
25/01/1999 15:30:00,15.75,15.98,15.34,15.67,3813550
27/01/1999 15:30:00,15.8,16.31,15.71,15.94,4598544
28/01/1999 15:30:00,15.94,16.18,15.54,15.84,3626589
29/01/1999 15:30:00,15.87,15.94,15.6,15.75,2682936
01/02/1999 15:30:00,15.57,15.66,15.19,15.19,2420168
02/02/1999 15:30:00,15.15,15.23,14.67,14.79,3559012
03/02/1999 15:30:00,15.09,15.09,14.76,15.0,2322233
04/02/1999 15:30:00,15.01,15.09,14.59,14.65,1865784
05/02/1999 15:30:00,14.67,14.71,14.35,14.41,2234762
08/02/1999 15:30:00,14.43,14.47,13.99,13.99,2089497
09/02/1999 15:30:00,13.96,14.46,13.89,14.46,3369078
10/02/1999 15:30:00,14.53,14.56,14.25,14.54,2643151
11/02/1999 15:30:00,14.62,15.08,14.35,14.71,5487398
12/02/1999 15:30:00,14.72,14.84,14.54,14.62,2744822
15/02/1999 15:30:00,14.65,14.71,14.21,14.21,2237903
16/02/1999 15:30:00,14.17,14.34,14.07,14.2,3106191
17/02/1999 15:30:00,14.34,14.5,14.01,14.21,3147431
18/02/1999 15:30:00,14.25,14.8,14.17,14.48,4234725
19/02/1999 15:30:00,14.62,15.16,14.58,14.67,5645215
22/02/1999 15:30:00,14.66,14.73,14.17,14.21,2963593
23/02/1999 15:30:00,14.15,14.2,13.88,14.17,3535788
24/02/1999 15:30:00,14.34,14.47,14.17,14.29,2488990
25/02/1999 15:30:00,14.21,14.46,14.08,14.09,2558921
26/02/1999 15:30:00,14.09,14.14,13.59,13.82,4118280
01/03/1999 15:30:00,14.42,15.17,14.3,15.16,7063651
03/03/1999 15:30:00,16.22,16.38,15.92,16.21,6876626
04/03/1999 15:30:00,16.37,17.19,15.77,16.98,11536438
05/03/1999 15:30:00,17.04,18.34,16.85,18.34,16437824
08/03/1999 15:30:00,18.58,19.81,18.49,19.81,13938241
09/03/1999 15:30:00,20.19,21.39,20.19,21.39,9909405
10/03/1999 15:30:00,21.68,21.7,19.68,19.68,10631306
11/03/1999 15:30:00,19.81,20.27,19.07,19.35,12749637
12/03/1999 15:30:00,19.48,20.9,19.16,20.9,12767162
15/03/1999 15:30:00,20.76,22.1,20.29,21.73,13544560
16/03/1999 15:30:00,21.56,22.14,20.58,20.66,9378587
17/03/1999 15:30:00,20.85,21.28,19.62,19.76,7485585
18/03/1999 15:30:00,19.95,21.34,19.83,21.34,15170512
19/03/1999 15:30:00,21.42,21.63,20.78,21.56,11194243
22/03/1999 15:30:00,21.13,21.22,20.58,20.76,4717257
23/03/1999 15:30:00,20.71,21.46,20.63,21.03,7167914
24/03/1999 15:30:00,21.2,21.55,19.82,20.58,5232381
25/03/1999 15:30:00,20.33,20.55,19.55,19.71,4762986
26/03/1999 15:30:00,19.71,20.0,19.34,19.7,3159962
30/03/1999 15:30:00,19.65,19.81,19.09,19.43,4776664
31/03/1999 15:30:00,19.62,20.82,19.45,20.1,7500095
01/04/1999 15:30:00,20.0,20.23,19.51,19.51,3594816
05/04/1999 15:30:00,18.77,18.77,17.95,17.95,3380040
06/04/1999 15:30:00,17.46,17.74,17.03,17.45,4229889
07/04/1999 15:30:00,17.55,18.1,17.23,17.41,3478529
08/04/1999 15:30:00,17.45,17.62,16.9,16.94,2218291
09/04/1999 15:30:00,16.95,17.02,16.05,16.08,3064535
12/04/1999 15:30:00,15.95,15.99,15.3,15.7,2492975
13/04/1999 15:30:00,15.4,15.75,15.39,15.55,2018606
15/04/1999 15:30:00,14.76,15.28,14.76,15.13,1915647
16/04/1999 15:30:00,15.27,16.34,15.22,16.34,3044593
19/04/1999 15:30:00,15.37,16.03,15.1,15.73,3091402
20/04/1999 15:30:00,15.8,16.51,15.4,15.9,5249300
